City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,kutum,14.2,24.6667,303.28,39,42,5.31,SD,1628157166
296,vestmannaeyjar,63.4427,-20.2734,285.7,100,90,4.12,IS,1628157166
297,christchurch,-43.5333,172.6333,282.59,86,40,2.24,NZ,1628157166
298,kahului,20.8947,-156.47,298.06,86,75,7.2,US,1628157167
299,cayenne,4.9333,-52.3333,297.09,91,90,0.45,GF,1628157167
300,limbang,4.75,115.0,303.32,91,100,1.5,MY,1628157168
301,la paz,-16.5,-68.15,274.14,86,40,1.03,BO,1628157075
302,saint anthony,45.0205,-93.218,295.21,70,75,0.89,US,1628157168
303,valparaiso,-33.0393,-71.6273,285.08,86,90,2.06,CL,1628157134
304,bikaner,28.0167,73.3,312.57,31,17,2.71,IN,1628157169
305,kruisfontein,-34.0033,24.7314,288.64,95,100,3.71,ZA,1628157169
306,morondava,-20.2833,44.2833,299.36,62,19,4.15,MG,1628157170
307,paranaiba,-19.6772,-51.1908,288.29,44,100,1.59,BR,1628157170
308,hearst,49.6835,-83.6665,292.29,80,94,2.37,CA,1628157170
309,inuvik,68.3499,-133.7218,284.63,64,40,2.06,CA,1628157171
310,le pradet,43.1066,6.0172,300.75,62,0,7.2,FR,1628157172
311,yarada,17.65,83.2667,303.33,74,90,4.12,IN,1628157172
312,fez,34.0372,-4.9998,302.29,39,0,1.03,MA,1628157123
313,harnoli,32.2792,71.5539,312.72,32,0,1.32,PK,1628157173
314,sembakung,3.8167,117.25,305.11,84,93,1.91,ID,1628157173
315,teeli,51.0333,90.2333,288.51,88,100,6.61,RU,1628157174
316,kaeo,-35.1,173.7833,286.11,97,29,4.93,NZ,1628157174
317,college,64.8569,-147.8028,291.14,67,20,1.54,US,1628157174
318,nueva gerona,21.8833,-82.8,300.83,75,53,3.48,CU,1628157175
319,pangai,-19.8,-174.35,295.16,66,100,3.71,TO,1628157175
320,gazli,40.1333,63.45,312.58,10,1,7.35,UZ,1628157176
321,houma,29.5958,-90.7195,295.93,91,57,0.45,US,1628156921
322,los llanos de aridane,28.6585,-17.9182,295.01,89,75,7.72,ES,1628157176
323,coquimbo,-29.9533,-71.3436,286.0,82,90,1.03,CL,1628157177
324,santa ana,33.7456,-117.8678,299.03,85,1,0.0,US,1628156964
325,mahajanga,-15.7167,46.3167,304.16,35,20,5.66,MG,1628157177
326,prince rupert,54.3161,-130.3201,287.98,100,90,1.54,CA,1628157178
327,belomorsk,64.5232,34.7668,290.87,45,99,2.32,RU,1628157178
328,grindavik,63.8424,-22.4338,287.9,94,75,1.54,IS,1628157178
329,vostok,46.4856,135.8833,295.49,79,79,1.52,RU,1628157179
330,gat,31.61,34.7642,311.7,20,0,4.54,IL,1628157180
331,ilulissat,69.2167,-51.1,277.88,72,28,0.89,GL,1628157180
332,tomado,7.1925,124.6081,299.54,81,100,2.26,PH,1628157181
333,mooresville,35.5849,-80.8101,293.27,88,69,1.94,US,1628156917
334,madimba,-10.4,40.3333,300.77,54,40,5.14,TZ,1628157181
335,pelotas,-31.7719,-52.3425,286.4,98,94,3.07,BR,1628157182
336,katherine,-14.4667,132.2667,297.33,23,16,3.09,AU,1628157182
337,ahipara,-35.1667,173.1667,286.34,89,62,5.86,NZ,1628157183
338,vila franca do campo,37.7167,-25.4333,296.38,81,74,2.7,PT,1628157183
339,milkovo,54.7167,158.6167,280.31,75,54,1.67,RU,1628157183
340,honningsvag,70.9821,25.9704,282.88,91,88,3.91,NO,1628157184
341,porto novo,6.4965,2.6036,298.91,78,100,3.67,BJ,1628157184
342,jiwani,25.05,61.7417,302.45,77,24,5.58,PK,1628157184
343,okhotsk,59.3833,143.3,286.68,82,24,2.27,RU,1628157185
344,jinzhou,41.1078,121.1417,298.47,90,79,4.67,CN,1628157185
345,otjimbingwe,-22.35,16.1333,297.78,13,4,1.54,NA,1628157186
346,mahibadhoo,3.7833,72.9667,301.26,76,95,4.79,MV,1628157186
347,alofi,-19.0595,-169.9187,293.09,88,97,1.54,NU,1628157187
348,san diego de los banos,22.6467,-83.3697,296.83,91,96,1.68,CU,1628157187
349,pacific grove,36.6177,-121.9166,288.21,93,90,0.89,US,1628157188
350,berdigestyakh,62.0989,126.6992,296.8,43,93,2.12,RU,1628157188
351,ramnagar,29.4,79.1167,304.72,67,40,1.34,IN,1628157189
352,san cristobal,7.7669,-72.225,289.67,96,70,1.88,VE,1628157189
353,tarancon,40.0085,-3.0073,301.04,23,4,3.8,ES,1628157189
354,porto nacional,-10.7081,-48.4172,298.15,42,76,1.16,BR,1628157190
355,meulaboh,4.1363,96.1285,302.27,66,100,3.0,ID,1628157190
356,beian,63.6559,9.5683,290.33,63,0,4.63,NO,1628157190
357,anadyr,64.75,177.4833,282.43,81,75,8.0,RU,1628157191
358,zheleznodorozhnyy,55.7503,38.0042,297.9,37,100,3.54,RU,1628157012
359,pacifica,37.6138,-122.4869,289.43,94,90,0.89,US,1628157191
360,vardo,70.3705,31.1107,284.14,76,20,4.12,NO,1628157192
361,blackwater,-23.5833,148.8833,286.87,39,33,4.38,AU,1628157192
362,empalme,27.9667,-110.8167,302.79,68,100,2.67,MX,1628157192
363,sao joao da barra,-21.6403,-41.0511,292.2,89,53,5.03,BR,1628157103
364,ankpa,7.3706,7.6253,296.76,87,100,2.28,NG,1628157193
365,mbandaka,0.0487,18.2603,304.88,36,7,0.8,CD,1628157193
366,evensk,61.95,159.2333,282.07,75,100,6.47,RU,1628157194
